Ordrenr.;t;Afsluttet ord.;Projektnr.;Navn;Kundeinfo;Prio.;Niveau;Varenummer;Navn;Startperiode;Afsluttet vare;Plan. antal;Rap. ant.;R;Status;Op.;Prod.grp.;Op. beskrivelse;Start;Afsluttet;Plan. antal;Rap. ant.;R;Plan. tid;Rap.tid;Rapp.nr.;oprettet
242640;13-05-2016;15-05-2016;;;Vikan A/S;9;0;242640;V21570/21571 25cm indlæg utæt;13-05-2016;15-05-2016;1;; ;1;90;RSO-09;Diverse arbejde og manuelle maskine;13-05-2016;13-05-2016;1;0; ;0;0;706;
242640;13-05-2016;15-05-2016;;;Vikan A/S;9;0;242640;V21570/21571 25cm indlæg utæt;13-05-2016;15-05-2016;1;; ;1;100;RSO-10;Lasersvejsning og andet svejsning;13-05-2016;13-05-2016;1;0; ;0;0;704;
242640;13-05-2016;15-05-2016;;;Vikan A/S;9;0;242640;V21570/21571 25cm indlæg utæt;13-05-2016;15-05-2016;1;; ;1;110;RSO-11;Opmålinger i målerum;13-05-2016;13-05-2016;1;0; ;0;0;702;
242640;13-05-2016;15-05-2016;;;Vikan A/S;9;0;242640;V21570/21571 25cm indlæg utæt;13-05-2016;15-05-2016;1;; ;1;120;RSO-12;Afmontering, tilpasning og samle;13-05-2016;13-05-2016;1;0; ;0;0;700;
242640;13-05-2016;15-05-2016;;;Vikan A/S;9;0;242640;V21570/21571 25cm indlæg utæt;13-05-2016;15-05-2016;1;; ;1;130;RSO-13;Overarbejde (alt overarbejde);13-05-2016;13-05-2016;1;0; ;0;0;698;
242640;13-05-2016;15-05-2016;;;Vikan A/S;9;0;242640;V21570/21571 25cm indlæg utæt;13-05-2016;15-05-2016;1;; ;1;140;RSO-14;Arbejde vedr. støbning;13-05-2016;13-05-2016;1;0; ;0;0;696;
242640;13-05-2016;15-05-2016;;;Vikan A/S;9;0;242640;V21570/21571 25cm indlæg utæt;13-05-2016;15-05-2016;1;; ;1;150;RSO-Ø;Interne fejl og efterjustering U/B;13-05-2016;15-05-2016;1;0; ;0;0;694;
242669;29-04-2016;29-04-2016;;;Grundfos  A/S;9;0;US.511586;US.511586;29-04-2016;29-04-2016;1;; ;1;10;SVH-01;Afmontering, montering ect.;29-04-2016;29-04-2016;1;0; ;0;0;546;
242669;29-04-2016;29-04-2016;;;Grundfos  A/S;9;0;US.511586;US.511586;29-04-2016;29-04-2016;1;; ;1;20;SVH-02;Slibning, renovering af dele;29-04-2016;29-04-2016;1;0; ;0;0;544;
242669;29-04-2016;29-04-2016;;;Grundfos  A/S;9;0;US.511586;US.511586;29-04-2016;29-04-2016;1;; ;1;30;SVH-Ø;Interne fejl og efterjustering U/B;29-04-2016;29-04-2016;1;0; ;0;0;542;
242669;29-04-2016;29-04-2016;;;Grundfos  A/S;9;0;US.511586;US.511586;29-04-2016;29-04-2016;1;; ;1;40;USVH-03;Job og opgaver uden for SVH;29-04-2016;29-04-2016;1;0; ;0;0;540;
242670;29-04-2016;29-04-2016;;;Kunststof-kemi A/S;9;0;242670;Extruder sæt;29-04-2016;29-04-2016;1;; ;1;10;VFS-01;Projekt opstart og konstruktion;29-04-2016;29-04-2016;1;0; ;0;0;668;
242670;29-04-2016;29-04-2016;;;Kunststof-kemi A/S;9;0;242670;Extruder sæt;29-04-2016;29-04-2016;1;; ;1;20;VFS-02;Programmer, fremstille i værksted ;29-04-2016;29-04-2016;1;0; ;0;0;666;
242670;29-04-2016;29-04-2016;;;Kunststof-kemi A/S;9;0;242670;Extruder sæt;29-04-2016;29-04-2016;1;; ;1;30;VFS-03;Ubemandet maskintid;29-04-2016;29-04-2016;1;0; ;0;0;664;
242670;29-04-2016;29-04-2016;;;Kunststof-kemi A/S;9;0;242670;Extruder sæt;29-04-2016;29-04-2016;1;; ;1;40;VFS-Ø;Interne fejl og efterjustering U/B;29-04-2016;29-04-2016;1;0; ;0;0;662;
242679;01-06-2016;01-06-2016;;;Grundfos  A/S;9;0;BD0001020102003;WBS-element: BD.000102.01.02.003;01-06-2016;01-06-2016;20000;; ;1;10;G01-1;Fremstilling og bearbejdning;01-06-2016;01-06-2016;20000;0; ;0;0;210;
242679;01-06-2016;01-06-2016;;;Grundfos  A/S;9;0;BD0001020102003;WBS-element: BD.000102.01.02.003;01-06-2016;01-06-2016;20000;; ;1;20;G01-2;Ubemandet maskintid;01-06-2016;01-06-2016;20000;0; ;0;0;208;
242679;01-06-2016;01-06-2016;;;Grundfos  A/S;9;0;BD0001020102003;WBS-element: BD.000102.01.02.003;01-06-2016;01-06-2016;20000;; ;1;30;G01-Ø;Interne fejl og efterjustering U/B;01-06-2016;01-06-2016;20000;0; ;0;0;206;
