Kontakt;Kontakt id;Jobnavn;Jobnr.;Status;Startdato;Slutdato;Prioitet;Fastpris:1/Lbn Timer:0;Forkalk. Timer;Budget. Bruttooms.;Budget Salgsomk. (indkøb);Budget Intern kost.;Budget DB beløb;Budget DB %;Realiseret Timer;~Real. Timepris;Real. Internkost. pr. time;Real. Bruttoomsætning;Real. Nettoomsætning;Real. DB beløb;Real. DB %;WIP DB beløb;WIP DB %;Faktureret;Faktisk Salgsomk. (indkøb);Faktisk Internkost.;Faktisk DB beløb;Faktisk DB %;Timepris (faktisk);Stade (WIP) %;WIP pr. dato (aktuel);WIP angivet dato;WIP Omsætning; Bal. Faktureret-Oms. WIP;Kontaktpers;Jobansvarlig 1;Jobans1. %;Init 1;Jobejer 2;Jobans2. %;Init 2;Medansv. 3;Jobans3. %;Init 3;Medansv. 4;Jobans4. %;Init 4;Medansv. 5;Jobans5. %;Init 5;Salgsansv. 1;Salgsansv. 1 %;Salgsansv. 1 Init;Salgsansv. 2;Salgsansv. 2 %;Salgsansv. 2 Init;Salgsansv. 3;Salgsansv. 3 %;Salgsansv. 3 Init;Salgsansv. 4;Salgsansv. 4 %;Salgsansv. 4 Init;Salgsansv. 5;Salgsansv. 5 %;Salgsansv. 5 Init;Aftale;Rekvnr.;Pre-konditioner opfyldt;Forretningsomr.;Projektgrupper (job);Virksomhedsandel;Beskrivelse;Kommentar;Fase;Aktiviteter;Aktivitet startdato;Aktivitet slutdato;
"WWF Verdensnaturfonden";"4535363635";"Budget og finansiel rapportering";"680";"Aktiv";"16-12-2014";"30-04-2015";"100";"0";"400,00";"100.000,00";"0,00";"100.000,00";"0,00";"0";"494,13";"608,53";"205,93";"300.692,55";"300.692,55";"198.938,10";"66";"-101.754,45";"0";"100.000,00";"0,00";"101.754,45";"-1.754,45";"-2";"202,38";"0";"08-12-2015";"24 apr. 2015";"0,00";"100.000,00";"Michael Skands";"Jesper Dohn Aaberg(24)";"100";"JDA";"Søren Karlsen(1)";"0";"SK";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"0";"";"0";"Post";"Alle-gruppen (alle medarbejder
";"0";"";"";
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Design";"26-03-2015";"26-04-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Projektledelse";"26-03-2015";"26-04-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Test";"26-03-2015";"26-04-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Tilpasninger";"26-03-2015";"26-04-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Udvikling";"26-03-2015";"26-04-2015"

"WWF Verdensnaturfonden";"4535363635";"TimeOut Opstart, Support & lbn. opgaver";"559";"Aktiv";"03-11-2010";"03-12-2010";"7";"0";"77,00";"26.400,00";"0,00";"26.400,22";"-0,22";"0";"451,74";"658,97";"325,21";"297.684,33";"297.684,33";"150.775,33";"51";"-146.909,00";"0";"73.075,00";"0,00";"146.909,00";"-73.834,00";"-101";"161,76";"0";"08-12-2015";"17 Apr.  2015";"0,00";"73.075,00";"";"Søren Karlsen(1)";"0";"SK";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"0";"";"0";"Tilretninger (Kode), Produktion, Post, Support, Produktudvikling (Ikke fakturerbar)";"Alle-gruppen (alle medarbejder
";"0";"";"";
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Budget modul";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Budget presale";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Ferie 00";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"PoWer BI";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Power BI";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Support UB";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Rapport abonnement og faste søgnnger";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Grandtotal 12 md.";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"01. Produktudvikling";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"02. Tilretninger";"03-11-2010";"03-12-2010"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"03. Implementering";"03-11-2010";"03-12-2010"
